Loaded plugins: fastestmirror
Loading mirror speeds from cached hostfile
 * base: mirror.csclub.uwaterloo.ca
 * epel: fedora.mirror.nexicom.net
 * extras: centos.mirror.netelligent.ca
 * updates: mirror.csclub.uwaterloo.ca
Installed Packages
MAKEDEV.x86_64                            3.24-6.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
acl.x86_64                                2.2.49-6.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
apr.x86_64                                1.3.9-5.el6_2                  @base  
apr-util.x86_64                           1.3.9-3.el6_0.1                @base  
apr-util-ldap.x86_64                      1.3.9-3.el6_0.1                @base  
attr.x86_64                               2.4.44-7.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
audit.x86_64                              2.2-2.el6                      @anaconda-CentOS-201311272149.x86_64/6.5
audit-libs.x86_64                         2.2-2.el6                      @anaconda-CentOS-201311272149.x86_64/6.5
authconfig.x86_64                         6.1.12-13.el6                  @anaconda-CentOS-201311272149.x86_64/6.5
b43-openfwwf.noarch                       5.2-4.el6                      @anaconda-CentOS-201311272149.x86_64/6.5
basesystem.noarch                         10.0-4.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
bash.x86_64                               4.1.2-15.el6_4                 @anaconda-CentOS-201311272149.x86_64/6.5
binutils.x86_64                           2.20.51.0.2-5.36.el6           @anaconda-CentOS-201311272149.x86_64/6.5
bridge-utils.x86_64                       1.2-10.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
bzip2.x86_64                              1.0.5-7.el6_0                  @anaconda-CentOS-201311272149.x86_64/6.5
bzip2-libs.x86_64                         1.0.5-7.el6_0                  @anaconda-CentOS-201311272149.x86_64/6.5
ca-certificates.noarch                    2013.1.94-65.0.el6             @anaconda-CentOS-201311272149.x86_64/6.5
centos-release.x86_64                     6-5.el6.centos.11.1            @anaconda-CentOS-201311272149.x86_64/6.5
checkpolicy.x86_64                        2.0.22-1.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
chkconfig.x86_64                          1.3.49.3-2.el6_4.1             @anaconda-CentOS-201311272149.x86_64/6.5
coreutils.x86_64                          8.4-31.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
coreutils-libs.x86_64                     8.4-31.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
cpio.x86_64                               2.10-11.el6_3                  @anaconda-CentOS-201311272149.x86_64/6.5
cracklib.x86_64                           2.8.16-4.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
cracklib-dicts.x86_64                     2.8.16-4.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
cronie.x86_64                             1.4.4-12.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
cronie-anacron.x86_64                     1.4.4-12.el6                   @anaconda-CentOS-201311272149.x86_64/6.5
crontabs.noarch                           1.10-33.el6                    @anaconda-CentOS-201311272149.x86_64/6.5
cryptsetup-luks.x86_64                    1.2.0-7.el6                    @anaconda-CentOS-201311272149.x86_64/6.5
cryptsetup-luks-libs.x86_64               1.2.0-7.el6                    @anaconda-CentOS-201311272149.x86_64/6.5
curl.x86_64                               7.19.7-37.el6_4                @anaconda-CentOS-201311272149.x86_64/6.5
cyrus-sasl.x86_64                         2.1.23-13.el6_3.1              @anaconda-CentOS-201311272149.x86_64/6.5
cyrus-sasl-lib.x86_64                     2.1.23-13.el6_3.1              @anaconda-CentOS-201311272149.x86_64/6.5
dash.x86_64                               0.5.5.1-4.el6                  @anaconda-CentOS-201311272149.x86_64/6.5
db4.x86_64                                4.7.25-18.el6_4                @anaconda-CentOS-201311272149.x86_64/6.5
db4-utils.x86_64                          4.7.25-18.el6_4                @anaconda-CentOS-201311272149.x86_64/6.5
dbus-glib.x86_64                          0.86-6.el6                     @anaconda-CentOS-201311272149.x86_64/6.5
